# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   14  v_last                                     5.2889    0.9011
   25  attn_out_post_oproj_last                   5.2556    0.9716
   29  attn_out_post_oproj_last                   5.2411    0.9874
    8  attn_logits_last                           5.1561    0.9987
   35  attn_logits_last                           5.1266    0.9989
   11  mlp_out_last                               5.1147    0.9162
   12  mlp_out_last                               5.1101    0.9077
   15  v_last                                     5.0210    0.9017
    9  mlp_out_last                               5.0165    0.9305
   13  attn_out_post_oproj_last                   4.9900    0.8956
    2  attn_logits_last                           4.9768    0.9995
   25  attn_out_pre_oproj_last                    4.9634    0.9718
   12  q_pre_qknorm_last                          4.9501    0.9948
   18  attn_out_post_oproj_last                   4.9261    0.9014
   29  attn_out_pre_oproj_last                    4.8864    0.9891
   16  attn_out_pre_oproj_last                    4.8621    0.8694
    9  attn_out_post_oproj_last                   4.8590    0.8698
   15  attn_out_post_oproj_last                   4.8343    0.8938
   14  h_after_input_ln_last                      4.8164    0.9626
   16  attn_out_post_oproj_last                   4.7860    0.8797
   18  attn_out_pre_oproj_last                    4.7591    0.9389
   22  attn_out_post_oproj_last                   4.7213    0.9793
   15  h_after_input_ln_last                      4.6337    0.9662
   15  attn_out_pre_oproj_last                    4.6081    0.9289
   14  k_pre_qknorm_last                          4.5934    0.9795
   17  attn_out_pre_oproj_last                    4.5717    0.9335
   10  mlp_out_last                               4.5297    0.9191
    8  hidden_out_last                            4.3881    0.9921
    9  hidden_in_last                             4.3881    0.9921
    8  k_post_rope_last                           4.3842    0.9993
    8  k_post_qknorm_last                         4.3834    0.9993
   27  attn_out_pre_oproj_last                    4.3192    0.9670
    4  attn_logits_last                           4.3059    0.9994
   27  attn_out_post_oproj_last                   4.2810    0.9597
   11  attn_out_post_oproj_last                   4.1065    0.8466
   13  attn_out_pre_oproj_last                    4.0887    0.9219
    7  k_post_rope_last                           4.0753    0.9977
    7  k_post_qknorm_last                         4.0742    0.9977
   11  q_pre_qknorm_last                          4.0566    0.9958
   15  k_pre_qknorm_last                          3.8798    0.9812
    9  q_pre_qknorm_last                          3.8767    0.9969
   17  attn_out_post_oproj_last                   3.8533    0.9292
    4  q_post_qknorm_last                         3.8445    0.9994
    4  q_post_rope_last                           3.8433    0.9994
    5  k_post_rope_last                           3.8430    0.9997
    5  k_post_qknorm_last                         3.8378    0.9997
    9  attn_out_pre_oproj_last                    3.7132    0.8982
    8  h_after_post_attn_ln_last                  3.5769    0.9729
   14  attn_out_pre_oproj_last                    3.5642    0.9166
    8  mlp_out_last                               3.5467    0.9504
   10  h_after_input_ln_last                      3.4718    0.9756
    8  attn_out_post_oproj_last                   3.4201    0.9199
   12  attn_out_post_oproj_last                   3.3813    0.9254
   11  attn_out_pre_oproj_last                    3.3091    0.8739
   10  v_last                                     3.2588    0.9586
    6  k_post_rope_last                           3.2244    0.9993
    6  k_post_qknorm_last                         3.2229    0.9993
   14  attn_out_post_oproj_last                   3.2165    0.9302
